artifact_id,source_path,preserved_path,sha256,bytes,classification,repository_disposition
eiram-breadcrumb-export,Research/AGI/EI-RAM/Agent Skills/breadcrumb_skill.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/breadcrumb_skill.zip,C8F3F000ECA50E2D7223F32111399E91903C00A5E860418423FE21D21F6B2EA8,5062,historical-export,external-preserved
eiram-datacollect-export,Research/AGI/EI-RAM/Agent Skills/eiram_datacollect_skill.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/eiram_datacollect_skill.zip,FE877746112AC015932135916031B5A3D91C818D122BD246760A68E5B003E14B,4841,historical-export,external-preserved
eiram-editorial-export-a,Research/AGI/EI-RAM/Agent Skills/eiram_skill.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/eiram_skill.zip,6BBF697AD06B2D98EF1E32B9494A929370C265D0E8283B69CBE62B23A965BB71,11912,historical-export,external-preserved
eiram-editorial-export-b,Research/AGI/EI-RAM/Agent Skills/eiram-editorial-intelligence.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/eiram-editorial-intelligence.zip,C7A835EA90CAB98B78CE4DAFA7F871A5E72E7A2DA2B382120EECF58AE964A114,10301,historical-export,external-preserved
eiram-editorial-export-c,Research/AGI/EI-RAM/Agent Skills/skill.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/skill.zip,36EDCC066B34C9EA7205CF312F93C5B9B598D3AB9BA342F86DE824D64E36B675,9333,historical-export,external-preserved
youtube-export-5,Research/AGI/EI-RAM/Agent Skills/skill(5)youtube.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/skill(5)youtube.zip,5F814F51512E5764A8F8CE892E8E4BAAD8B5E0F3A7F325DD2A1B4765B3F813FD,11948,historical-export,external-preserved
youtube-export-6,Research/AGI/EI-RAM/Agent Skills/skill(6)youtube.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/skill(6)youtube.zip,648C78940AFC4E8203E58EC00B2A698708E5EB1AC3F6FB4E25C759B1FC84B87A,11335,historical-export,external-preserved
youtube-export-7,Research/AGI/EI-RAM/Agent Skills/skill(7)youtube.zip,archive/skill-consolidation-2026-08-18/eiram-original-exports/skill(7)youtube.zip,6DFDE41D38A3BFF3BF0F3274768229B91C7D4712948F90BF4F92E4B10A5D09AA,16157,historical-export,external-preserved
authorized-reverse-engineering,Seraphim/archive/tool-artifacts/skill.zip,archive/skill-consolidation-2026-08-18/tool-artifacts/authorized-reverse-engineering.zip,949A075B1F01A1B97E3A51D9B71E65C88E7A865534C93DDD64A13456CD6FBF05,4134,unreviewed-tool-artifact,external-preserved
manus-skill-harvest,Seraphim/Exports/MANUS_SKILL_HARVEST.tar.gz,archive/skill-consolidation-2026-08-18/imports/manus-harvest/MANUS_SKILL_HARVEST.tar.gz,0DFD05538650E05399CE59AC456A2FFEC9F15BF85DD0D4834D90AC46CE4E7C78,4296086,unreviewed-import-harvest,external-preserved
seraphim-loose-skills-snapshot,Seraphim/skills,archive/skill-consolidation-2026-08-18/loose-tree-snapshots/seraphim-loose-skills-2026-08-18.zip,FA1182FBA64A694CF53534C3C37BD291112E7BD1319EE1B5AA5DA74B8CA954C8,23689,loose-tree-snapshot,external-preserved
